Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
B,Ship,289,low,3,late,frequently calls,> 3 purchase,light
C,Ship,281,low,9,ontime,frequently calls,> 3 purchase,light
F,Ship,258,low,4,ontime,frequently calls,> 3 purchase,light
D,Ship,263,low,8,ontime,frequently calls,> 3 purchase,light
F,Ship,245,low,2,ontime,frequently calls,> 3 purchase,light
A,Ship,296,medium,8,late,frequently calls,> 3 purchase,light
B,Ship,286,low,5,late,frequently calls,> 3 purchase,light
C,Ship,252,low,1,ontime,frequently calls,0-3 purchase,light
F,Ship,301,low,7,late,frequently calls,> 3 purchase,light
D,Ship,290,low,4,ontime,frequently calls,> 3 purchase,light
F,Ship,247,medium,6,late,frequently calls,> 3 purchase,light
A,Ship,238,low,3,late,frequently calls,> 3 purchase,light
B,Ship,263,medium,10,ontime,frequently calls,> 3 purchase,light
C,Ship,263,low,3,late,frequently calls,> 3 purchase,light
F,Ship,248,low,3,late,frequently calls,> 3 purchase,light
D,Ship,289,low,1,ontime,frequently calls,> 3 purchase,light
F,Ship,256,high,1,late,occasionally calls,> 3 purchase,light
A,Ship,287,low,7,late,frequently calls,> 3 purchase,light
B,Ship,250,medium,10,late,occasionally calls,> 3 purchase,light
C,Ship,301,medium,1,late,frequently calls,> 3 purchase,light
F,Ship,245,low,3,ontime,occasionally calls,> 3 purchase,light
D,Ship,226,medium,8,ontime,occasionally calls,> 3 purchase,light
F,Ship,272,low,8,ontime,frequently calls,> 3 purchase,light
A,Ship,307,low,3,late,seldom calls,> 3 purchase,light
B,Ship,138,low,6,ontime,frequently calls,0-3 purchase,light
C,Ship,248,low,8,ontime,frequently calls,> 3 purchase,light
F,Ship,307,low,8,late,frequently calls,> 3 purchase,light
D,Ship,256,low,6,ontime,frequently calls,> 3 purchase,light
F,Ship,301,low,8,ontime,frequently calls,> 3 purchase,light
A,Ship,245,medium,10,late,frequently calls,> 3 purchase,light
B,Ship,168,medium,2,late,seldom calls,0-3 purchase,light
C,Ship,295,low,10,ontime,frequently calls,> 3 purchase,light
F,Ship,299,low,9,ontime,frequently calls,> 3 purchase,light
D,Ship,253,medium,9,ontime,frequently calls,> 3 purchase,light
F,Ship,269,medium,5,ontime,frequently calls,> 3 purchase,light
A,Ship,267,medium,10,ontime,frequently calls,> 3 purchase,light
B,Ship,212,medium,7,late,seldom calls,0-3 purchase,medium
C,Road,258,medium,1,ontime,frequently calls,0-3 purchase,heavy
F,Road,136,low,6,late,occasionally calls,0-3 purchase,medium
D,Road,101,medium,1,ontime,seldom calls,0-3 purchase,heavy
F,Road,191,low,3,ontime,frequently calls,> 3 purchase,heavy
A,Road,186,low,3,ontime,frequently calls,> 3 purchase,medium
B,Road,104,low,7,ontime,occasionally calls,> 3 purchase,heavy
C,Road,201,medium,3,ontime,occasionally calls,> 3 purchase,medium
F,Road,235,medium,10,ontime,seldom calls,0-3 purchase,medium
D,Road,271,high,3,ontime,occasionally calls,> 3 purchase,medium
F,Road,133,low,5,late,seldom calls,> 3 purchase,heavy
A,Road,256,low,6,late,seldom calls,> 3 purchase,medium
B,Road,225,low,2,late,seldom calls,0-3 purchase,medium
C,Road,202,low,4,late,frequently calls,0-3 purchase,medium
F,Road,214,medium,1,ontime,occasionally calls,0-3 purchase,medium
D,Road,217,medium,3,ontime,frequently calls,> 3 purchase,medium
F,Road,241,low,3,ontime,occasionally calls,0-3 purchase,heavy
A,Road,263,low,10,ontime,seldom calls,0-3 purchase,heavy
B,Road,273,low,9,ontime,occasionally calls,0-3 purchase,medium
C,Road,199,low,9,ontime,occasionally calls,0-3 purchase,medium
F,Road,198,medium,9,ontime,occasionally calls,> 3 purchase,medium
D,Road,101,low,6,late,seldom calls,> 3 purchase,medium
F,Road,155,low,10,late,occasionally calls,> 3 purchase,heavy
A,Flight,155,low,2,late,seldom calls,0-3 purchase,heavy
B,Flight,117,medium,4,ontime,occasionally calls,0-3 purchase,medium
C,Flight,262,low,5,late,seldom calls,0-3 purchase,heavy
F,Flight,142,low,8,late,frequently calls,0-3 purchase,medium
D,Flight,115,medium,7,ontime,occasionally calls,0-3 purchase,medium
F,Flight,175,low,6,late,occasionally calls,0-3 purchase,medium
A,Flight,239,low,9,late,seldom calls,0-3 purchase,medium
B,Flight,171,low,3,ontime,occasionally calls,0-3 purchase,medium
C,Flight,174,low,8,ontime,occasionally calls,0-3 purchase,medium
F,Flight,164,high,1,ontime,occasionally calls,0-3 purchase,heavy
D,Flight,262,medium,4,ontime,seldom calls,0-3 purchase,heavy
F,Flight,262,medium,7,late,seldom calls,0-3 purchase,medium
A,Flight,245,low,4,ontime,seldom calls,0-3 purchase,medium
B,Flight,184,low,2,ontime,seldom calls,0-3 purchase,medium
C,Flight,231,low,10,late,frequently calls,0-3 purchase,medium
F,Flight,226,high,2,ontime,frequently calls,> 3 purchase,heavy
D,Flight,211,medium,2,ontime,occasionally calls,0-3 purchase,heavy
F,Flight,266,medium,3,ontime,occasionally calls,> 3 purchase,medium
A,Flight,216,low,4,late,occasionally calls,0-3 purchase,medium
B,Flight,153,low,5,late,occasionally calls,0-3 purchase,heavy
C,Flight,242,high,9,ontime,seldom calls,0-3 purchase,medium
F,Flight,282,low,6,late,frequently calls,> 3 purchase,medium
D,Ship,165,medium,10,ontime,occasionally calls,0-3 purchase,medium
F,Ship,146,medium,9,late,seldom calls,0-3 purchase,medium
A,Ship,113,medium,5,ontime,frequently calls,0-3 purchase,medium
B,Ship,161,medium,1,ontime,seldom calls,0-3 purchase,heavy
C,Ship,219,medium,8,ontime,seldom calls,0-3 purchase,medium
F,Ship,237,low,1,ontime,occasionally calls,0-3 purchase,medium
D,Ship,246,low,5,ontime,occasionally calls,0-3 purchase,medium
F,Ship,229,medium,3,ontime,seldom calls,> 3 purchase,medium
A,Ship,195,low,1,ontime,seldom calls,0-3 purchase,medium
B,Ship,160,low,5,late,occasionally calls,0-3 purchase,medium
C,Ship,144,medium,6,ontime,seldom calls,0-3 purchase,heavy
F,Ship,217,medium,3,ontime,seldom calls,> 3 purchase,heavy
D,Ship,240,high,6,ontime,seldom calls,0-3 purchase,medium
F,Ship,210,medium,8,ontime,seldom calls,0-3 purchase,medium
A,Ship,249,low,9,late,occasionally calls,0-3 purchase,medium
B,Ship,178,high,3,late,occasionally calls,0-3 purchase,heavy
C,Ship,224,low,6,ontime,frequently calls,> 3 purchase,medium
F,Ship,142,medium,10,late,seldom calls,0-3 purchase,medium
D,Ship,163,medium,10,late,occasionally calls,0-3 purchase,heavy
F,Ship,261,medium,10,ontime,occasionally calls,> 3 purchase,medium
A,Ship,151,medium,5,late,seldom calls,0-3 purchase,medium
B,Ship,197,medium,3,late,occasionally calls,0-3 purchase,medium
C,Ship,155,medium,1,late,frequently calls,0-3 purchase,medium
F,Ship,152,medium,2,ontime,seldom calls,> 3 purchase,medium
D,Ship,275,low,3,ontime,occasionally calls,> 3 purchase,medium
F,Ship,102,medium,4,late,seldom calls,> 3 purchase,heavy
A,Ship,285,low,4,ontime,occasionally calls,0-3 purchase,medium
B,Ship,248,medium,10,late,occasionally calls,0-3 purchase,medium
C,Ship,274,low,7,late,seldom calls,0-3 purchase,medium
F,Ship,104,low,6,late,occasionally calls,> 3 purchase,medium
D,Ship,176,medium,10,ontime,frequently calls,0-3 purchase,medium
F,Ship,237,medium,1,ontime,frequently calls,0-3 purchase,medium
A,Ship,247,medium,9,ontime,occasionally calls,0-3 purchase,medium
B,Ship,212,low,6,ontime,frequently calls,> 3 purchase,medium
C,Ship,226,low,1,ontime,occasionally calls,0-3 purchase,medium
F,Ship,213,medium,7,ontime,frequently calls,0-3 purchase,medium
D,Ship,177,low,1,ontime,occasionally calls,0-3 purchase,medium
F,Ship,235,medium,6,late,occasionally calls,> 3 purchase,medium
A,Ship,263,medium,2,late,seldom calls,0-3 purchase,heavy
B,Ship,181,low,10,ontime,seldom calls,0-3 purchase,medium
C,Ship,178,medium,2,ontime,seldom calls,0-3 purchase,medium
F,Ship,243,medium,4,late,seldom calls,0-3 purchase,medium
D,Ship,230,medium,2,late,seldom calls,0-3 purchase,medium
F,Ship,106,medium,6,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,266,medium,2,ontime,occasionally calls,0-3 purchase,medium
B,Ship,284,low,1,late,frequently calls,> 3 purchase,medium
C,Ship,233,low,9,late,seldom calls,0-3 purchase,medium
F,Ship,200,high,2,late,seldom calls,0-3 purchase,medium
D,Ship,176,medium,1,ontime,seldom calls,0-3 purchase,medium
F,Ship,279,medium,4,late,frequently calls,> 3 purchase,medium
A,Ship,164,high,9,ontime,seldom calls,0-3 purchase,medium
B,Ship,163,low,10,late,occasionally calls,0-3 purchase,medium
C,Ship,254,medium,3,ontime,occasionally calls,0-3 purchase,medium
F,Ship,234,low,2,ontime,frequently calls,0-3 purchase,medium
D,Ship,191,low,8,late,occasionally calls,0-3 purchase,medium
F,Ship,224,medium,5,late,seldom calls,0-3 purchase,medium
A,Ship,250,low,5,ontime,seldom calls,0-3 purchase,medium
B,Ship,101,medium,8,ontime,occasionally calls,> 3 purchase,medium
C,Ship,227,medium,6,ontime,seldom calls,0-3 purchase,medium
F,Ship,173,medium,4,ontime,seldom calls,0-3 purchase,heavy
D,Ship,209,medium,6,ontime,occasionally calls,> 3 purchase,medium
F,Ship,241,low,4,ontime,seldom calls,0-3 purchase,medium
A,Ship,257,medium,9,ontime,frequently calls,0-3 purchase,heavy
B,Ship,146,high,3,late,frequently calls,0-3 purchase,medium
C,Ship,129,medium,3,late,seldom calls,> 3 purchase,medium
F,Ship,285,low,9,late,seldom calls,0-3 purchase,medium
D,Ship,133,low,5,late,seldom calls,0-3 purchase,medium
F,Ship,185,low,1,ontime,occasionally calls,0-3 purchase,medium
A,Ship,193,medium,8,ontime,frequently calls,> 3 purchase,heavy
B,Ship,228,medium,5,late,frequently calls,> 3 purchase,medium
C,Ship,179,low,5,ontime,seldom calls,0-3 purchase,medium
F,Ship,224,low,9,ontime,occasionally calls,0-3 purchase,medium
D,Ship,279,medium,1,ontime,seldom calls,> 3 purchase,heavy
F,Ship,181,medium,4,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,198,medium,9,ontime,frequently calls,0-3 purchase,medium
B,Ship,193,medium,4,ontime,seldom calls,0-3 purchase,heavy
C,Ship,184,low,1,late,frequently calls,0-3 purchase,medium
F,Ship,139,low,9,ontime,frequently calls,0-3 purchase,heavy
D,Ship,210,low,5,late,frequently calls,0-3 purchase,medium
F,Ship,225,low,2,late,occasionally calls,0-3 purchase,medium
A,Ship,189,low,5,ontime,seldom calls,0-3 purchase,medium
B,Ship,164,low,4,ontime,occasionally calls,> 3 purchase,heavy
C,Ship,196,low,1,late,seldom calls,0-3 purchase,medium
F,Ship,246,medium,1,ontime,frequently calls,0-3 purchase,medium
D,Ship,188,low,10,late,occasionally calls,> 3 purchase,medium
F,Ship,250,medium,4,ontime,seldom calls,0-3 purchase,medium
A,Ship,156,medium,2,late,occasionally calls,> 3 purchase,heavy
B,Ship,218,low,6,late,seldom calls,> 3 purchase,medium
C,Ship,172,low,5,ontime,frequently calls,0-3 purchase,heavy
F,Ship,259,low,3,ontime,seldom calls,0-3 purchase,medium
D,Ship,231,medium,9,late,seldom calls,0-3 purchase,medium
F,Ship,224,high,4,ontime,frequently calls,0-3 purchase,medium
A,Ship,201,low,7,ontime,occasionally calls,0-3 purchase,medium
B,Road,189,medium,5,ontime,occasionally calls,0-3 purchase,medium
C,Road,265,medium,10,ontime,frequently calls,0-3 purchase,medium
F,Road,147,medium,5,late,seldom calls,0-3 purchase,medium
D,Road,195,low,6,ontime,occasionally calls,0-3 purchase,heavy
F,Road,216,medium,7,ontime,occasionally calls,0-3 purchase,heavy
A,Road,148,low,5,ontime,occasionally calls,0-3 purchase,medium
B,Road,180,medium,7,late,frequently calls,> 3 purchase,medium
C,Road,169,low,7,ontime,seldom calls,0-3 purchase,heavy
F,Road,200,low,7,ontime,seldom calls,0-3 purchase,medium
D,Road,255,low,10,ontime,seldom calls,0-3 purchase,heavy
F,Road,238,low,1,ontime,occasionally calls,0-3 purchase,medium
A,Road,163,medium,5,late,seldom calls,0-3 purchase,medium
B,Road,177,medium,7,late,occasionally calls,0-3 purchase,medium
C,Road,206,medium,5,late,occasionally calls,0-3 purchase,heavy
F,Road,175,low,2,ontime,seldom calls,0-3 purchase,medium
D,Road,247,medium,5,ontime,frequently calls,0-3 purchase,medium
F,Road,152,medium,4,ontime,occasionally calls,> 3 purchase,heavy
A,Road,162,low,8,ontime,occasionally calls,0-3 purchase,medium
B,Road,206,medium,5,ontime,seldom calls,0-3 purchase,heavy
C,Road,186,low,6,ontime,seldom calls,> 3 purchase,heavy
F,Road,179,low,4,ontime,occasionally calls,0-3 purchase,medium
D,Road,172,medium,7,ontime,seldom calls,0-3 purchase,medium
F,Flight,158,medium,7,ontime,seldom calls,0-3 purchase,medium
A,Flight,143,high,9,ontime,frequently calls,> 3 purchase,medium
B,Flight,171,medium,7,ontime,frequently calls,0-3 purchase,medium
C,Flight,175,high,4,ontime,occasionally calls,0-3 purchase,medium
F,Flight,173,medium,8,late,occasionally calls,0-3 purchase,medium
D,Flight,268,medium,10,ontime,occasionally calls,0-3 purchase,medium
F,Flight,232,low,8,ontime,occasionally calls,0-3 purchase,heavy
A,Flight,203,medium,9,ontime,occasionally calls,> 3 purchase,medium
B,Flight,140,low,3,ontime,seldom calls,0-3 purchase,medium
C,Flight,138,medium,10,late,seldom calls,0-3 purchase,medium
F,Flight,262,medium,9,ontime,frequently calls,0-3 purchase,medium
D,Flight,245,low,9,late,occasionally calls,0-3 purchase,medium
F,Flight,224,low,10,late,seldom calls,0-3 purchase,medium
A,Flight,186,low,4,ontime,seldom calls,0-3 purchase,medium
B,Flight,282,medium,5,late,occasionally calls,> 3 purchase,medium
C,Flight,266,low,8,late,frequently calls,0-3 purchase,medium
F,Flight,256,low,7,ontime,occasionally calls,> 3 purchase,heavy
D,Flight,155,medium,7,ontime,seldom calls,0-3 purchase,medium
F,Flight,142,high,2,ontime,seldom calls,0-3 purchase,heavy
A,Flight,229,medium,6,ontime,frequently calls,> 3 purchase,medium
B,Flight,211,medium,6,ontime,occasionally calls,> 3 purchase,heavy
C,Flight,264,high,4,ontime,frequently calls,> 3 purchase,medium
F,Ship,217,medium,3,ontime,frequently calls,> 3 purchase,heavy
D,Ship,145,low,3,late,frequently calls,0-3 purchase,medium
F,Ship,185,low,6,ontime,seldom calls,> 3 purchase,heavy
A,Ship,221,high,6,late,occasionally calls,> 3 purchase,heavy
B,Ship,208,low,8,ontime,occasionally calls,0-3 purchase,medium
C,Ship,260,medium,2,ontime,occasionally calls,0-3 purchase,medium
F,Ship,177,low,3,late,occasionally calls,> 3 purchase,heavy
D,Ship,144,low,10,ontime,occasionally calls,> 3 purchase,medium
F,Ship,174,low,4,ontime,seldom calls,0-3 purchase,heavy
A,Ship,215,high,1,ontime,seldom calls,> 3 purchase,medium
B,Ship,270,medium,9,late,occasionally calls,> 3 purchase,medium
C,Ship,209,high,10,ontime,seldom calls,0-3 purchase,medium
F,Ship,103,low,10,late,frequently calls,> 3 purchase,medium
D,Ship,184,low,10,late,frequently calls,0-3 purchase,medium
F,Ship,226,high,6,ontime,frequently calls,0-3 purchase,medium
A,Ship,158,low,4,ontime,frequently calls,0-3 purchase,medium
B,Ship,274,high,2,ontime,seldom calls,0-3 purchase,medium
C,Ship,245,medium,7,ontime,seldom calls,0-3 purchase,medium
F,Ship,254,low,8,ontime,frequently calls,> 3 purchase,light
D,Ship,252,low,2,late,frequently calls,> 3 purchase,light
F,Ship,254,low,2,ontime,frequently calls,> 3 purchase,light
A,Ship,263,low,10,ontime,occasionally calls,> 3 purchase,light
B,Ship,256,low,5,ontime,frequently calls,> 3 purchase,light
C,Ship,264,medium,9,late,frequently calls,> 3 purchase,light
F,Ship,237,low,6,late,occasionally calls,> 3 purchase,light
D,Ship,226,medium,2,ontime,occasionally calls,> 3 purchase,light
F,Ship,289,low,4,late,frequently calls,> 3 purchase,light
A,Ship,281,low,9,ontime,frequently calls,> 3 purchase,light
B,Ship,258,low,6,late,frequently calls,> 3 purchase,light
C,Ship,263,low,3,ontime,frequently calls,> 3 purchase,light
F,Ship,245,low,1,ontime,frequently calls,> 3 purchase,light
D,Ship,296,medium,7,ontime,frequently calls,> 3 purchase,light
F,Ship,286,low,3,late,frequently calls,> 3 purchase,light
A,Ship,252,low,6,late,frequently calls,0-3 purchase,light
B,Ship,301,low,4,late,frequently calls,> 3 purchase,light
C,Ship,290,low,10,late,frequently calls,> 3 purchase,light
F,Ship,247,medium,9,late,frequently calls,> 3 purchase,light
D,Ship,138,medium,2,late,seldom calls,0-3 purchase,medium
F,Ship,262,medium,6,ontime,frequently calls,0-3 purchase,medium
A,Ship,245,low,5,ontime,occasionally calls,0-3 purchase,medium
B,Ship,224,low,1,late,seldom calls,0-3 purchase,medium
C,Ship,186,low,1,late,seldom calls,0-3 purchase,medium
F,Ship,282,medium,10,ontime,occasionally calls,> 3 purchase,medium
D,Ship,266,low,2,late,frequently calls,0-3 purchase,medium
F,Ship,256,low,8,late,occasionally calls,> 3 purchase,medium
A,Ship,155,medium,7,ontime,seldom calls,0-3 purchase,heavy
B,Ship,142,high,10,ontime,seldom calls,0-3 purchase,medium
C,Ship,229,medium,2,late,frequently calls,> 3 purchase,medium
F,Ship,211,medium,3,ontime,occasionally calls,> 3 purchase,medium
D,Ship,264,high,8,late,frequently calls,> 3 purchase,medium
F,Ship,217,medium,4,late,frequently calls,> 3 purchase,medium
A,Ship,145,low,2,late,frequently calls,0-3 purchase,medium
B,Ship,185,low,9,ontime,seldom calls,> 3 purchase,heavy
C,Ship,221,high,9,ontime,occasionally calls,> 3 purchase,medium
F,Ship,208,low,8,ontime,occasionally calls,0-3 purchase,medium
D,Ship,260,medium,6,ontime,occasionally calls,0-3 purchase,medium
F,Ship,177,low,2,ontime,occasionally calls,> 3 purchase,medium
A,Ship,144,low,8,ontime,occasionally calls,> 3 purchase,medium
B,Ship,174,low,1,ontime,seldom calls,0-3 purchase,heavy
C,Ship,215,high,2,late,seldom calls,> 3 purchase,medium
F,Ship,270,medium,5,late,occasionally calls,> 3 purchase,heavy
D,Ship,209,high,5,ontime,seldom calls,0-3 purchase,medium
F,Ship,103,low,3,ontime,frequently calls,> 3 purchase,medium
A,Ship,184,low,4,ontime,frequently calls,0-3 purchase,medium
B,Ship,226,high,2,ontime,frequently calls,0-3 purchase,medium
C,Ship,158,low,10,late,frequently calls,0-3 purchase,medium
F,Ship,274,high,2,ontime,seldom calls,0-3 purchase,medium
D,Ship,245,medium,7,ontime,seldom calls,0-3 purchase,medium
F,Ship,254,low,4,late,frequently calls,> 3 purchase,light
A,Ship,252,low,9,late,frequently calls,> 3 purchase,light
B,Ship,254,low,9,ontime,frequently calls,> 3 purchase,light
C,Ship,263,low,3,ontime,occasionally calls,> 3 purchase,light
F,Ship,256,low,10,late,frequently calls,> 3 purchase,light
D,Ship,264,medium,5,ontime,frequently calls,> 3 purchase,light
F,Ship,237,low,5,ontime,occasionally calls,> 3 purchase,light
A,Ship,226,medium,6,ontime,occasionally calls,> 3 purchase,light
B,Ship,289,low,1,ontime,frequently calls,> 3 purchase,light
C,Ship,281,low,6,late,frequently calls,> 3 purchase,light
F,Ship,258,low,10,late,frequently calls,> 3 purchase,light
D,Ship,263,low,10,ontime,frequently calls,> 3 purchase,light
F,Ship,245,low,10,ontime,frequently calls,> 3 purchase,light
A,Ship,296,medium,2,late,frequently calls,> 3 purchase,light
B,Ship,286,low,2,late,frequently calls,> 3 purchase,light
C,Ship,299,low,1,late,frequently calls,> 3 purchase,light
F,Ship,253,medium,10,ontime,frequently calls,> 3 purchase,light
D,Ship,269,medium,9,ontime,frequently calls,> 3 purchase,light
F,Ship,267,medium,3,late,frequently calls,> 3 purchase,light
A,Ship,226,medium,4,ontime,frequently calls,> 3 purchase,light
B,Ship,278,low,3,late,frequently calls,> 3 purchase,light
C,Ship,232,medium,2,ontime,occasionally calls,> 3 purchase,light
F,Ship,287,low,5,late,frequently calls,> 3 purchase,light
D,Ship,228,low,6,ontime,occasionally calls,> 3 purchase,light
F,Ship,232,low,4,ontime,frequently calls,> 3 purchase,light
A,Road,308,low,8,late,frequently calls,> 3 purchase,light
B,Road,287,low,8,ontime,frequently calls,> 3 purchase,light
C,Road,246,medium,8,ontime,frequently calls,> 3 purchase,light
F,Road,262,low,1,late,occasionally calls,> 3 purchase,light
D,Road,275,low,10,ontime,frequently calls,> 3 purchase,light
F,Road,236,medium,2,late,frequently calls,> 3 purchase,light
A,Road,221,medium,2,late,frequently calls,> 3 purchase,light
B,Road,271,low,4,ontime,frequently calls,> 3 purchase,light
C,Road,229,low,9,ontime,occasionally calls,> 3 purchase,light
F,Road,291,low,3,late,frequently calls,> 3 purchase,light
D,Road,261,medium,1,ontime,frequently calls,> 3 purchase,light
F,Road,285,medium,10,ontime,frequently calls,> 3 purchase,light
A,Road,262,low,9,ontime,frequently calls,> 3 purchase,light
B,Road,219,low,2,ontime,occasionally calls,> 3 purchase,light
C,Road,302,low,1,late,frequently calls,> 3 purchase,light
F,Road,269,medium,2,ontime,occasionally calls,> 3 purchase,light
D,Road,260,low,10,late,frequently calls,> 3 purchase,light
F,Road,297,low,7,late,frequently calls,> 3 purchase,light
A,Road,278,medium,6,ontime,frequently calls,> 3 purchase,light
B,Road,265,low,3,late,frequently calls,> 3 purchase,light
C,Road,286,low,5,late,frequently calls,> 3 purchase,light
F,Road,248,low,10,late,frequently calls,> 3 purchase,light
D,Flight,302,low,7,ontime,frequently calls,> 3 purchase,light
F,Flight,272,low,2,ontime,frequently calls,> 3 purchase,light
A,Flight,279,low,10,late,frequently calls,> 3 purchase,light
B,Flight,255,medium,2,ontime,occasionally calls,> 3 purchase,light
C,Flight,245,medium,4,late,frequently calls,> 3 purchase,light
F,Flight,247,medium,6,ontime,occasionally calls,> 3 purchase,light
D,Flight,275,medium,5,ontime,frequently calls,> 3 purchase,light
F,Flight,255,medium,8,ontime,frequently calls,> 3 purchase,light
A,Flight,243,high,2,late,frequently calls,> 3 purchase,light
B,Flight,234,low,7,ontime,occasionally calls,> 3 purchase,light
C,Flight,276,medium,6,ontime,frequently calls,> 3 purchase,light
F,Flight,228,low,7,ontime,frequently calls,> 3 purchase,light
D,Flight,232,low,2,late,frequently calls,> 3 purchase,light
F,Flight,248,low,6,late,frequently calls,> 3 purchase,light
A,Flight,136,low,9,ontime,frequently calls,> 3 purchase,medium
B,Flight,240,low,8,ontime,occasionally calls,0-3 purchase,medium
C,Flight,147,medium,9,late,occasionally calls,0-3 purchase,medium
F,Flight,222,low,10,late,occasionally calls,0-3 purchase,medium
D,Flight,163,medium,5,ontime,seldom calls,0-3 purchase,medium
F,Flight,254,low,4,late,frequently calls,0-3 purchase,heavy
A,Flight,246,medium,1,ontime,occasionally calls,0-3 purchase,medium
B,Flight,168,low,6,ontime,seldom calls,> 3 purchase,medium
C,Ship,145,medium,8,ontime,occasionally calls,0-3 purchase,medium
F,Ship,224,medium,8,late,frequently calls,0-3 purchase,medium
D,Ship,248,low,2,ontime,occasionally calls,> 3 purchase,medium
F,Ship,212,low,2,ontime,seldom calls,0-3 purchase,medium
A,Ship,268,low,8,ontime,frequently calls,0-3 purchase,medium
B,Ship,200,medium,5,late,occasionally calls,0-3 purchase,medium
C,Ship,246,low,9,ontime,frequently calls,0-3 purchase,heavy
F,Ship,142,medium,1,ontime,occasionally calls,0-3 purchase,medium
D,Ship,173,low,9,ontime,occasionally calls,> 3 purchase,heavy
F,Ship,156,medium,8,ontime,frequently calls,> 3 purchase,heavy
A,Ship,223,low,8,late,seldom calls,0-3 purchase,heavy
B,Ship,231,low,4,late,occasionally calls,0-3 purchase,medium
C,Ship,264,low,1,late,seldom calls,0-3 purchase,medium
F,Ship,175,low,10,late,occasionally calls,> 3 purchase,medium
D,Ship,149,medium,7,ontime,seldom calls,> 3 purchase,heavy
F,Ship,226,low,7,ontime,seldom calls,0-3 purchase,medium
A,Ship,133,medium,5,ontime,seldom calls,0-3 purchase,medium
B,Ship,190,low,1,ontime,frequently calls,0-3 purchase,medium
C,Ship,238,high,5,ontime,seldom calls,0-3 purchase,medium
F,Ship,152,low,10,late,frequently calls,0-3 purchase,medium
D,Ship,249,high,10,late,seldom calls,0-3 purchase,heavy
F,Ship,181,low,4,late,occasionally calls,0-3 purchase,heavy
A,Ship,239,medium,2,ontime,seldom calls,0-3 purchase,heavy
B,Ship,167,medium,10,late,seldom calls,0-3 purchase,medium
C,Ship,246,medium,1,late,seldom calls,0-3 purchase,heavy
F,Ship,139,medium,1,late,frequently calls,0-3 purchase,heavy
D,Ship,150,low,1,ontime,frequently calls,> 3 purchase,medium
F,Ship,151,medium,1,ontime,seldom calls,0-3 purchase,medium
A,Ship,186,low,6,ontime,occasionally calls,0-3 purchase,medium
B,Ship,250,low,6,ontime,seldom calls,0-3 purchase,heavy
C,Ship,162,medium,6,late,occasionally calls,0-3 purchase,medium
F,Ship,135,medium,5,ontime,frequently calls,0-3 purchase,medium
D,Ship,238,medium,5,late,seldom calls,0-3 purchase,medium
F,Ship,167,low,10,late,frequently calls,0-3 purchase,medium
A,Ship,269,medium,3,late,occasionally calls,> 3 purchase,medium
B,Ship,187,medium,7,late,occasionally calls,0-3 purchase,medium
C,Ship,241,high,2,late,seldom calls,0-3 purchase,medium
F,Ship,168,medium,10,late,seldom calls,0-3 purchase,medium
D,Ship,273,low,1,late,occasionally calls,0-3 purchase,heavy
F,Ship,257,low,8,late,occasionally calls,0-3 purchase,medium
A,Ship,205,low,3,late,frequently calls,0-3 purchase,heavy
B,Ship,260,low,1,late,occasionally calls,> 3 purchase,heavy
C,Ship,207,medium,10,ontime,seldom calls,0-3 purchase,medium
F,Ship,202,medium,7,ontime,seldom calls,0-3 purchase,medium
D,Ship,224,low,7,late,frequently calls,0-3 purchase,heavy
F,Ship,193,low,8,ontime,frequently calls,0-3 purchase,medium
A,Ship,199,low,3,late,frequently calls,0-3 purchase,medium
B,Ship,187,low,9,late,occasionally calls,> 3 purchase,heavy
C,Ship,208,low,6,late,frequently calls,0-3 purchase,medium
F,Ship,228,medium,3,ontime,seldom calls,0-3 purchase,medium
D,Ship,160,medium,7,ontime,seldom calls,> 3 purchase,medium
F,Ship,195,medium,3,ontime,seldom calls,0-3 purchase,heavy
A,Ship,240,medium,2,ontime,seldom calls,0-3 purchase,heavy
B,Ship,271,medium,9,ontime,seldom calls,> 3 purchase,medium
C,Ship,236,low,8,ontime,occasionally calls,0-3 purchase,medium
F,Ship,199,medium,1,ontime,seldom calls,> 3 purchase,heavy
D,Ship,246,low,9,ontime,seldom calls,0-3 purchase,medium
F,Ship,250,low,8,late,seldom calls,> 3 purchase,medium
A,Ship,188,low,10,late,occasionally calls,0-3 purchase,medium
B,Ship,256,low,1,ontime,seldom calls,0-3 purchase,medium
C,Ship,147,medium,8,late,seldom calls,0-3 purchase,medium
F,Ship,234,low,6,ontime,seldom calls,0-3 purchase,heavy
D,Ship,247,low,8,late,seldom calls,> 3 purchase,medium
F,Ship,267,low,5,ontime,frequently calls,> 3 purchase,heavy
A,Ship,246,high,3,late,frequently calls,> 3 purchase,medium
B,Ship,284,low,4,late,occasionally calls,> 3 purchase,medium
C,Ship,142,medium,2,late,seldom calls,> 3 purchase,heavy
F,Ship,132,medium,2,ontime,seldom calls,0-3 purchase,medium
D,Ship,252,high,4,late,seldom calls,0-3 purchase,medium
F,Ship,243,high,5,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,281,low,7,ontime,frequently calls,0-3 purchase,medium
